list1_extract1,list1_news_name,list1_news_selection1,list1_news_selection2
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Index Outlook: Rally in Sensex, Nifty to continue","Aug 28, 2021 09:34",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/400,Dalal Street Week Ahead: Which sectors may lead and which ones may lag from here on,"Aug 28, 2021 04:58",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Sensex, Nifty post weekly gains on strong Q1 earnings, hopes of economic recovery","Aug 28, 2021 01:42",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Markets Next Week: Jackson Hole Outcome, Qtrly GDP Will Influence Markets","Aug 27, 2021 23:17",GoodReturns
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Sensex ends above 56K for first time; Nifty scales 16,700","Aug 27, 2021 20:38",TribuneIndia
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Sensex closes above 56,000 for the first time; Nifty scales 16,700","Aug 27, 2021 13:25",Business Standard
https://in.investing.com/indices/s-p-cnx-nifty-news/400,Markets Recover Well After Opening Lower Ahead of US Fed Meeting; Dow Futures Up,"Aug 27, 2021 11:19",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/400,India shares higher at close of trade; Nifty 50 up 0.41%,"Aug 27, 2021 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Sensex, Nifty end with gains on Friday; here’s what experts make of today’s trade","Aug 27, 2021 05:35",FinancialExpress
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Sensex, Nifty Close At Record Highs Led By Gains In Larsen & Toubro, TCS","Aug 27, 2021 05:07",NDTV
https://in.investing.com/indices/s-p-cnx-nifty-news/400,Nifty Notches Fresh Highs; Broader Indices Outperform,"Aug 27, 2021 05:07",GoodReturns
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"What Nifty, Bank Nifty rollovers data says: Where are Nifty, Bank Nifty headed in September series?","Aug 27, 2021 04:55",FinancialExpress
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Nifty Pharma outperforms as all stocks traded bullish, index tops 195 pts; Dr Reddy's, Aurobindo, Cadila in a sharp rally","Aug 27, 2021 04:40",IndiaInfoLine
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Nifty 50 hits fresh lifetime high of over 16,720; Metal and Pharma leads the bull charge; Ultratech, Hindalco in lead","Aug 27, 2021 04:28",IndiaInfoLine
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Nifty 50 hit fresh all-time high, crosses 16,700 mark; Sensex above 56,100; L&T, UltraTech stocks zoom","Aug 27, 2021 04:19",IndiaInfoLine
https://in.investing.com/indices/s-p-cnx-nifty-news/400,Nifty Metal index outperforms as all stocks trade in green; NALCO surges 7%,"Aug 27, 2021 04:02",IndiaInfoLine
https://in.investing.com/indices/s-p-cnx-nifty-news/400,Barometers near day's high; IT stocks advance,"Aug 27, 2021 03:55",Business Standard
https://in.investing.com/indices/s-p-cnx-nifty-news/400,"Now, 10 More Stocks Available For Derivatives Trading on NSE","Aug 27, 2021 03:14",NDTV
https://in.investing.com/indices/s-p-cnx-nifty-news/400,Sensex jumps 202 pts; Nifty hits record high,"Aug 27, 2021 03:03",Business Standard
