list1_extract1,list1_news_name,list1_news_selection1,list1_news_selection2
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"5 things to know before the opening bell as Sensex, Nifty stare at a negative opening","Sep 06, 2020 21:47",FinancialExpress
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Market LIVE: SGX Nifty indicates weak start for Sensex, Nifty; Happiest Minds Technologies IPO opens today","Sep 06, 2020 21:38",FinancialExpress
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Nifty outlook and stock recommendations by Sameet Chavan of Angel Broking,"Sep 06, 2020 21:34",Business Standard
https://in.investing.com/indices/s-p-cnx-nifty-news/599,MARKET LIVE: SGX Nifty dips 50 pts; Voda Idea to make 'major' announcement,"Sep 06, 2020 21:12",Business Standard
https://in.investing.com/indices/s-p-cnx-nifty-news/599,SGX Nifty indicates a negative opening for Indian markets,"Sep 06, 2020 21:05",IndiaInfoLine
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Trade Setup: Nifty may weaken some more; 11,430 level is key","Sep 06, 2020 06:34",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Markets are on the back foot, soft flows could aggravate conditions","Sep 06, 2020 04:42",Livemint
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Sexual harassment cases see a marginal decline in India’s largest companies,"Sep 06, 2020 04:35",Livemint
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"SC interest waiver verdict, border tension, FII flow and what else may guide market this week","Sep 06, 2020 00:05",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Bulls have not surrendered yet,"Sep 05, 2020 11:00",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Sensex, Nifty Register Weekly Loss Of 2%","Sep 05, 2020 07:30",NDTV
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Dalal Street week ahead: Nifty likely to limit downside; expect stock & sector-specific action,"Sep 05, 2020 05:53",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Index Linked Insurance Plans To Be Relaunched: Know All,"Sep 04, 2020 21:21",GoodReturns
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Wall Street selling spills over to India; Sensex, Nifty shed over 1.5%","Sep 04, 2020 14:00",Business Standard
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Sensex plunges 634 points on global sell-off, equities end the week down by 3%","Sep 04, 2020 13:35",FinancialExpress
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Nifty: Today's Sell-Off Should not be Seen as the Start of the Bear Market,"Sep 04, 2020 11:24",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/599,India shares lower at close of trade; Nifty 50 down 1.68%,"Sep 04, 2020 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Indian shares end lower after broader selloff; banks weigh,"Sep 04, 2020 10:36",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"EMERGING MARKETS-Asian stocks drubbed after Wall St rout, U.S. jobs data awaited","Sep 04, 2020 07:48",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Nifty fall after Wall Street selloff; banks weigh,"Sep 04, 2020 05:42",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,EMERGING MARKETS-Asian stocks dive as Wall St rout jangles nerves ahead of U.S. jobs data,"Sep 04, 2020 04:48",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Nifty drop after Wall Street selloff; financials weigh,"Sep 04, 2020 04:06",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,US Markets Crash Overnight Will Have an Impact on Nifty Today,"Sep 04, 2020 01:43",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Trade setup: Multiple weak signals, it’ll be prudent to stay defensive","Sep 03, 2020 11:33",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Indian shares end slightly lower as financials, Reliance weigh","Sep 03, 2020 10:54",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,India shares lower at close of trade; Nifty 50 down 0.07%,"Sep 03, 2020 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/599,EMERGING MARKETS-Indonesia markets sink as Chinese moves hit Asia,"Sep 03, 2020 07:48",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Nifty up after services activity survey,"Sep 03, 2020 06:24",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"EMERGING MARKETS-Rupiah, baht resume decline; Thai stocks cheer stimulus","Sep 03, 2020 05:12",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Nifty edge up on global cues; services survey eyed,"Sep 03, 2020 04:18",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Sensex gains 112 points early; Nifty up 26 points,"Sep 02, 2020 23:03",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Sensex, Nifty open higher; Tata Motors, IndiGo stocks gain","Sep 02, 2020 22:55",IndiaInfoLine
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Share Market News Live: Sensex rises 80 points, Nifty at 11,535; Adani Ports, M&M, Tata Motors top gainers","Sep 02, 2020 22:46",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/599,Markets may extend consolidation on global support; Coal India in focus,"Sep 02, 2020 22:06",Livemint
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Sensex, Nifty to open subdued on Thursday; 5 things to know before the opening bell","Sep 02, 2020 21:51",FinancialExpress
https://in.investing.com/indices/s-p-cnx-nifty-news/599,"Market LIVE: SGX Nifty flat, indicates muted start for Indian equities","Sep 02, 2020 21:48",Livemint
